id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52055960,Home in Chicago · ★4.64 · 1 bedroom · 1 bed · 1 shared bath,7165902,Robert,,North Lawndale,41.85431,-87.71542,Private room,110,3,11,2023-06-09,0.51,2,41,5,
51565135,Serviced apartment in Chicago · ★4.0 · 2 bedrooms · 2 beds · 1 bath,160231988,Rochelle,,North Lawndale,41.85664,-87.72136,Entire home/apt,216,1,11,2022-07-06,0.52,3,257,1,R21000070222
52385589,Rental unit in Chicago · ★4.78 · 1 bedroom · 1 bed · 1 bath,174769930,Noe,,Brighton Park,41.81815,-87.68712,Entire home/apt,65,2,9,2023-05-29,4.58,2,303,9,R19000048790
51565391,Townhouse in Chicago · ★4.64 · 1 bedroom · 2 shared baths,73114817,Leonid,,West Garfield Park,41.87299,-87.72663,Private room,69,1,25,2023-05-31,1.11,4,360,14,
52112335,Villa in Chicago · ★4.61 · 3 bedrooms · 5 beds · 3 baths,316227254,Planetary,,South Shore,41.76201,-87.5608,Entire home/apt,713,1,28,2023-03-08,2.22,4,341,27,R21000075523
52389225,Condo in Chicago · ★4.86 · Studio · 1 bed · 1 bath,273591286,Regina,,Uptown,41.97011,-87.66005,Entire home/apt,111,1,99,2023-06-01,4.69,16,86,53,R21000071168
52391072,Rental unit in Chicago · ★4.84 · Studio · 1 bed · 1 bath,273591286,Regina,,Uptown,41.97079,-87.66181,Entire home/apt,118,1,98,2023-06-02,4.66,16,88,54,R21000071170
52113952,Condo in Chicago · ★4.88 · 1 bedroom · 2 beds · 1 bath,88727859,Julie,,West Town,41.90017,-87.6856,Entire home/apt,151,1,40,2023-06-04,2.06,1,304,24,R21000072272
51578149,Rental unit in Chicago · 3 bedrooms · 3 beds · 1 bath,134724493,Kelsey,,Lake View,41.93476,-87.66012,Entire home/apt,256,1,2,2023-06-15,2,1,87,2,R23000095874
52391531,Rental unit in Chicago · ★4.83 · Studio · 1 bed · 1 bath,273591286,Regina,,Uptown,41.97012,-87.66138,Entire home/apt,126,1,83,2023-06-11,3.95,16,80,53,R21000071171
51578922,Condo in Chicago · ★4.74 · 3 bedrooms · 4 beds · 1 bath,24337590,Obinna,,West Ridge,41.99805,-87.68744,Entire home/apt,128,3,38,2023-06-07,2.49,3,146,26,R21000075343
52114521,Guest suite in Chicago · ★4.65 · 1 bedroom · 1 bed · 1 bath,177511412,Joceline,,Lower West Side,41.84855,-87.67693,Entire home/apt,116,2,37,2023-06-12,1.72,3,331,16,R21000061016
52397280,Rental unit in Chicago · 1 bedroom · 1 bed · 1 bath,360930812,Brianna,,Loop,41.8683,-87.6274,Entire home/apt,290,32,0,,,1,83,0,
52115774,Rental unit in Chicago · ★4.77 · 1 bedroom · 1 bed · 1 bath,356621073,Izzy,,Near South Side,41.85309,-87.62432,Entire home/apt,151,1,22,2023-06-04,1.89,2,267,22,R22000091733
52116387,Guest suite in Chicago · 3 bedrooms · 3 beds · 1 bath,9959757,Jedidiah,,North Center,41.942970275878906,-87.67887878417969,Entire home/apt,200,32,2,2022-08-26,0.18,8,260,2,
51584207,Rental unit in Chicago · ★4.51 · 1 bedroom · 1 bed · 1 shared bath,145551824,Aaron Emisael,,Logan Square,41.91708,-87.69445,Private room,61,2,61,2023-05-26,2.72,7,103,35,
52403432,Rental unit in Chicago · ★4.98 · 1 bedroom · 2 beds · 1 bath,72855133,Patricia,,Near West Side,41.86965,-87.66415,Entire home/apt,167,3,58,2023-06-16,2.92,1,340,30,R21000071789
51584325,Rental unit in Chicago · ★4.61 · 1 bedroom · 1 bed · 1 shared bath,145551824,Aaron Emisael,,Logan Square,41.91839,-87.69636,Private room,64,2,85,2023-06-17,3.79,7,92,47,
